symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,power
resistor,resistor_1M8_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1M8 5% 0.05W,"resistor, smd",1,2,1M8,5%,0.05W
resistor,resistor_2M0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2M0 5% 0.05W,"resistor, smd",1,2,2M0,5%,0.05W
resistor,resistor_2M2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2M2 5% 0.05W,"resistor, smd",1,2,2M2,5%,0.05W
resistor,resistor_2M4_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2M4 5% 0.05W,"resistor, smd",1,2,2M4,5%,0.05W
resistor,resistor_2M7_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2M7 5% 0.05W,"resistor, smd",1,2,2M7,5%,0.05W
resistor,resistor_3M0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3M0 5% 0.05W,"resistor, smd",1,2,3M0,5%,0.05W
resistor,resistor_3M3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3M3 5% 0.05W,"resistor, smd",1,2,3M3,5%,0.05W
resistor,resistor_3M6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3M6 5% 0.05W,"resistor, smd",1,2,3M6,5%,0.05W
resistor,resistor_3M9_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3M9 5% 0.05W,"resistor, smd",1,2,3M9,5%,0.05W
resistor,resistor_4M3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 4M3 5% 0.05W,"resistor, smd",1,2,4M3,5%,0.05W
resistor,resistor_4M7_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 4M7 5% 0.05W,"resistor, smd",1,2,4M7,5%,0.05W
resistor,resistor_5M1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 5M1 5% 0.05W,"resistor, smd",1,2,5M1,5%,0.05W
resistor,resistor_5M6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 5M6 5% 0.05W,"resistor, smd",1,2,5M6,5%,0.05W
resistor,resistor_6M2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 6M2 5% 0.05W,"resistor, smd",1,2,6M2,5%,0.05W
resistor,resistor_6M8_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 6M8 5% 0.05W,"resistor, smd",1,2,6M8,5%,0.05W
resistor,resistor_7M5_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 7M5 5% 0.05W,"resistor, smd",1,2,7M5,5%,0.05W
resistor,resistor_8M2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 8M2 5% 0.05W,"resistor, smd",1,2,8M2,5%,0.05W
resistor,resistor_9M1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 9M1 5% 0.05W,"resistor, smd",1,2,9M1,5%,0.05W
resistor,resistor_10M_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 10M 5% 0.05W,"resistor, smd",1,2,10M,5%,0.05W
